date,usd_eur
2026-01-09,0.8969
2026-01-12,0.8972
2026-01-13,0.8985
2026-01-14,0.8978
2026-01-15,0.8955
2026-01-16,0.8961
2026-01-19,0.896
2026-01-20,0.8958
2026-01-21,0.8942
2026-01-22,0.8936
2026-01-23,0.8946
2026-01-26,0.8928
2026-01-27,0.8901
2026-01-28,0.8903
2026-01-29,0.8891
2026-01-30,0.8902
2026-02-02,0.8897
2026-02-03,0.8881
2026-02-04,0.8883
2026-02-05,0.8882
2026-02-06,0.8882
2026-02-09,0.8866
2026-02-10,0.8884
2026-02-11,0.8875
2026-02-12,0.8896
2026-02-13,0.887
2026-02-16,0.8883
2026-02-17,0.8891
2026-02-18,0.8886
2026-02-19,0.8861
2026-02-20,0.8862
2026-02-23,0.8834
2026-02-24,0.8827
2026-02-25,0.8839
2026-02-26,0.8836
2026-02-27,0.8833
2026-03-02,0.8853
2026-03-03,0.8855
2026-03-04,0.8881
2026-03-05,0.8876
2026-03-06,0.8891
2026-03-09,0.8888
2026-03-10,0.8893
2026-03-11,0.8881
2026-03-12,0.8885
2026-03-13,0.8889
2026-03-16,0.8891
2026-03-17,0.8865
2026-03-18,0.888
2026-03-19,0.8885
2026-03-20,0.8891
2026-03-23,0.8914
2026-03-24,0.8912
2026-03-25,0.8923
2026-03-26,0.8934
2026-03-27,0.893
2026-03-30,0.893
2026-03-31,0.8918
2026-04-01,0.8881
2026-04-02,0.887
2026-04-03,0.8849
2026-04-06,0.8826
2026-04-07,0.8816
2026-04-08,0.8851
2026-04-09,0.8834
2026-04-10,0.8841
2026-04-13,0.8813
2026-04-14,0.8817
2026-04-15,0.8827
2026-04-16,0.8811
2026-04-17,0.8801
2026-04-20,0.8787
2026-04-21,0.8794
2026-04-22,0.8798
2026-04-23,0.881
2026-04-24,0.8808
2026-04-27,0.8785
2026-04-28,0.8768
2026-04-29,0.8747
2026-04-30,0.8734
2026-05-01,0.8725
2026-05-04,0.8718
2026-05-05,0.8716
2026-05-06,0.8687
2026-05-07,0.87
2026-05-08,0.8704
2026-05-11,0.8698
2026-05-12,0.8689
2026-05-13,0.8681
2026-05-14,0.8676
2026-05-15,0.8682
2026-05-18,0.868
2026-05-19,0.8684
2026-05-20,0.8685
2026-05-21,0.8675
2026-05-22,0.8651
2026-05-25,0.8672
2026-05-26,0.8681
2026-05-27,0.87
2026-05-28,0.8692
2026-05-29,0.8697
2026-06-01,0.8688
2026-06-02,0.8698
2026-06-03,0.8721
2026-06-04,0.8744
2026-06-05,0.8744
2026-06-08,0.8755
2026-06-09,0.8763
2026-06-10,0.8765
2026-06-11,0.8772
2026-06-12,0.876
2026-06-15,0.8737
2026-06-16,0.8743
2026-06-17,0.8727
2026-06-18,0.8714
2026-06-19,0.8708
2026-06-22,0.873
2026-06-23,0.8729
2026-06-24,0.8716
2026-06-25,0.8697
2026-06-26,0.8695
2026-06-29,0.8691
2026-06-30,0.8674
2026-07-01,0.8676
2026-07-02,0.8651
2026-07-03,0.8635
2026-07-06,0.8655
2026-07-07,0.8638
2026-07-08,0.8636
2026-07-09,0.8642
2026-07-10,0.8669
2026-07-13,0.8692
2026-07-14,0.8701
2026-07-15,0.8685
2026-07-16,0.8671
2026-07-17,0.8664
2026-07-20,0.87
2026-07-21,0.8707
2026-07-22,0.8707
2026-07-23,0.8709
2026-07-24,0.873
2026-07-27,0.8721
2026-07-28,0.8722
2026-07-29,0.8718
2026-07-30,0.8707
2026-07-31,0.8703
