deal_id,client,created_date,closed_date,stage,deal_value,source_campaign
DEAL-00069,Solmar Hotels,2025-06-20,,New,1094.95,unknown source
DEAL-00070,Solmar Hotels,2025-06-20,,New,3098.23,Organic
DEAL-00071,Solmar Hotels,2025-06-21,2025-07-12,Lost,5363.55,ES_Sponsored_Corporate_2025Q2
DEAL-00072,Solmar Hotels,2025-06-23,2025-08-02,Won,1234.08,PT_Social_Prospecting_2025Q2
DEAL-00073,Solmar Hotels,2025-06-23,,New,1140.12,Organic Search
DEAL-00074,Solmar Hotels,2025-06-25,2025-07-08,Won,642.47,ES_Social_Retargeting_2025Q1
DEAL-00075,Solmar Hotels,2025-06-25,2025-07-19,Won,3871.51,ES_Social_Retargeting_2025Q2
DEAL-00076,Solmar Hotels,2025-06-27,2025-07-08,Won,1772.68,ES_Search_Generic_2025Q2
DEAL-00077,Solmar Hotels,2025-06-27,2025-07-13,Won,1388.08,
DEAL-00078,Solmar Hotels,2025-06-27,2025-07-31,Won,1290.76,
DEAL-00079,Solmar Hotels,2025-06-28,2025-08-08,Won,598.18,PT_Social_Prospecting_2025Q2
DEAL-00080,Solmar Hotels,2025-06-28,2025-08-19,Lost,1224.08,PT_Social_Prospecting_2025Q1
DEAL-00081,Solmar Hotels,2025-06-29,2025-08-24,Won,1393.09,ES_SEARCH_GENERIC_2025Q2 (COPY)
DEAL-00082,Solmar Hotels,2025-06-29,2025-07-02,Won,990.25,facebook
DEAL-00083,Solmar Hotels,2025-06-30,2025-08-12,Won,1876.29,ES_Social_Retargeting_2025Q1
DEAL-00084,Solmar Hotels,2025-07-01,2025-07-08,Won,721.69,
DEAL-00085,Solmar Hotels,2025-07-01,2025-07-29,Won,1318.68,TBD
DEAL-00086,Solmar Hotels,2025-07-03,2025-07-30,Won,746.07,
DEAL-00087,Solmar Hotels,2025-07-03,2025-08-25,Lost,795.36,ES_Search_SummerEscape_2025Q3
DEAL-00088,Solmar Hotels,2025-07-04,2025-08-31,Won,613.68,PT_Social_Prospecting_2025Q3
DEAL-00089,Solmar Hotels,2025-07-04,2025-08-21,Won,971.52,Organic Search
DEAL-00090,Solmar Hotels,2025-07-05,2025-07-19,Won,1513.27,old campaign?
DEAL-00091,Solmar Hotels,2025-07-06,2025-07-09,Lost,1645.57,ES_Search_Brand_2025Q2
DEAL-00092,Solmar Hotels,2025-07-07,,New,1603.31,ES_Social_Prospecting_2025Q1
DEAL-00093,Solmar Hotels,2025-07-07,2025-07-31,Won,1578.38,ES_Social_Prospecting_2025Q2
DEAL-00094,Solmar Hotels,2025-07-08,2025-08-24,Lost,1131.16,
DEAL-00095,Solmar Hotels,2025-07-08,2025-07-12,Won,1590.81,Organic Search
DEAL-00096,Solmar Hotels,2025-07-08,,Qualified,3596.4,ES_Social_Prospecting_2025Q3
DEAL-00097,Solmar Hotels,2025-07-09,,New,1083.17,ES_Search_Generic_2025Q1
DEAL-00098,Solmar Hotels,2025-07-10,,Qualified,2238.23,
DEAL-00099,Solmar Hotels,2025-07-11,2025-09-02,Lost,1741.93,
DEAL-00100,Solmar Hotels,2025-07-13,,New,827.67,PT_Social_Prospecting_2025Q1
DEAL-00101,Solmar Hotels,2025-07-14,2025-07-17,Lost,1251.28,ES_Social_Retargeting_2025Q1
DEAL-00102,Solmar Hotels,2025-07-15,,New,349.69,ES_Sponsored_Corporate_2025Q1
DEAL-00103,Solmar Hotels,2025-07-15,2025-09-07,Lost,621.17,ES_Social_Prospecting_2025Q1
DEAL-00104,Solmar Hotels,2025-07-16,2025-09-10,Won,2040.33,ES_Social_Prospecting_2025Q2
DEAL-00105,Solmar Hotels,2025-07-18,2025-07-25,Lost,1628.72,ES_Search_Generic_2025Q3
DEAL-00106,Solmar Hotels,2025-07-19,2025-08-22,Lost,4975.02,Organic Search
DEAL-00107,Solmar Hotels,2025-07-19,,Qualified,1584.1,ES_Sponsored_Corporate_2025Q2
DEAL-00108,Solmar Hotels,2025-07-20,,Qualified,1066.41,ES_Social_Prospecting_2025Q3
DEAL-00109,Solmar Hotels,2025-07-20,2025-08-08,Lost,1159.84,ES_Social_Retargeting_2025Q1
DEAL-00110,Solmar Hotels,2025-07-20,2025-09-06,Lost,1621.66,ES_Social_Retargeting_2025Q2
DEAL-00111,Solmar Hotels,2025-07-20,2025-08-23,Lost,1064.56,
DEAL-00112,Solmar Hotels,2025-07-21,2025-08-08,Won,1234.03,-
DEAL-00113,Solmar Hotels,2025-07-21,2025-08-11,Lost,1795.14,ES_Search_Brand_2025Q2
DEAL-00114,Solmar Hotels,2025-07-21,2025-07-24,Lost,2679.22,ES_Social_Prospecting_2025Q3
DEAL-00115,Solmar Hotels,2025-07-21,2025-09-07,Won,1134.58,ES_Social_Prospecting_2025Q1
DEAL-00116,Solmar Hotels,2025-07-22,2025-08-14,Won,996.87,
DEAL-00117,Solmar Hotels,2025-07-23,,New,1042.64,ES_Search_Generic_2025Q1
DEAL-00118,Solmar Hotels,2025-07-23,2025-09-19,Lost,901.73,PT_Social_Prospecting_2025Q1
DEAL-00119,Solmar Hotels,2025-07-24,2025-07-30,Lost,863.45,ORGANIC SEARCH (COPY)
DEAL-00120,Solmar Hotels,2025-07-24,2025-09-14,Won,476.62,
DEAL-00121,Solmar Hotels,2025-07-24,2025-08-09,Won,638.88,facebook
DEAL-00122,Solmar Hotels,2025-07-24,,Qualified,2256.91,ES_Social_Prospecting_2025Q3
DEAL-00123,Solmar Hotels,2025-07-25,2025-08-10,Won,1407.19,referral - ask client
DEAL-00124,Solmar Hotels,2025-07-25,2025-08-11,Won,910.83,pt social prospecting 2025q3??
DEAL-00125,Solmar Hotels,2025-07-27,2025-08-14,Won,562.18,
DEAL-00126,Solmar Hotels,2025-07-28,2025-08-26,Lost,1148.35,ES_Social_Pros
DEAL-00127,Solmar Hotels,2025-07-28,,Qualified,1034.69,
DEAL-00128,Solmar Hotels,2025-07-28,2025-08-23,Won,821.27,ES_Sponsored_Corporate_2025Q3
DEAL-00129,Solmar Hotels,2025-07-29,2025-09-15,Won,1695.09,Organic
DEAL-00130,Solmar Hotels,2025-07-29,2025-09-07,Won,940.61,ES_Search_Brand_2025Q1
DEAL-00131,Solmar Hotels,2025-07-29,2025-08-29,Won,1668.0,facebook
DEAL-00132,Solmar Hotels,2025-07-31,2025-09-06,Won,2108.64,ES_Sponsored_Corporate_2025Q2
DEAL-00133,Solmar Hotels,2025-08-01,2025-08-14,Won,4118.95,ES_Search_Generic_2025Q1
DEAL-00134,Solmar Hotels,2025-08-01,2025-09-03,Won,2152.61,PT_Social_Pros
DEAL-00135,Solmar Hotels,2025-08-01,2025-09-24,Won,608.36,ES_Sponsored_Corporate_2025Q3
DEAL-00136,Solmar Hotels,2025-08-01,,New,4512.26,ES_SOCIAL_PROSPECTING_2025Q3 (COPY)
DEAL-00137,Solmar Hotels,2025-08-02,2025-08-21,Won,1306.94,ES_SOCIAL_RETARGETING_2025Q2 (COPY)
DEAL-00138,Solmar Hotels,2025-08-02,2025-09-17,Won,2067.45,ES_Search_Brand_2025Q1
DEAL-00139,Solmar Hotels,2025-08-03,2025-08-24,Lost,1315.13,ES_Search_Generic_2025Q3
DEAL-00140,Solmar Hotels,2025-08-04,2025-08-16,Won,1946.39,ES_Search_Generic_2025Q2
DEAL-00141,Solmar Hotels,2025-08-05,,Qualified,2565.95,ES_Search_Ge
DEAL-00142,Solmar Hotels,2025-08-07,2025-08-20,Lost,2021.26,ES_Sponsored_Corporate_2025Q2
DEAL-00143,Solmar Hotels,2025-08-07,2025-09-12,Lost,1165.89,ES_SEARCH_GENERIC_2025Q1 (COPY)
DEAL-00144,Solmar Hotels,2025-08-08,2025-08-28,Won,2357.47,ES_Social_Prospecting_2025Q3
DEAL-00145,Solmar Hotels,2025-08-08,2025-09-04,Won,2623.17,ES_Search_SummerEscape_2025Q2
DEAL-00146,Solmar Hotels,2025-08-09,,Qualified,1304.23,PT_Social_Prospecting_2025Q3
DEAL-00147,Solmar Hotels,2025-08-09,2025-09-04,Won,1228.35,ES_Search_Generic_2025Q2
DEAL-00148,Solmar Hotels,2025-08-09,2025-10-02,Won,2120.67,
DEAL-00149,Solmar Hotels,2025-08-11,2025-09-27,Won,1052.18,
DEAL-00150,Solmar Hotels,2025-08-12,2025-09-18,Won,1471.09,ES_Search_Generic_2025Q1
DEAL-00151,Solmar Hotels,2025-08-14,2025-08-28,Won,1195.49,ES_Sponsored_Corporate_2025Q2
DEAL-00152,Solmar Hotels,2025-08-14,2025-09-02,Lost,1019.76,ES_Search_Generic_2025Q1
DEAL-00153,Solmar Hotels,2025-08-16,,New,2407.3,ES_Search_Generic_2025Q2
DEAL-00154,Solmar Hotels,2025-08-17,2025-10-10,Won,1546.97,ES_Social_Prospecting_2025Q3
DEAL-00155,Solmar Hotels,2025-08-17,2025-09-01,Won,1047.61,es social retargeting 2025q1??
DEAL-00156,Solmar Hotels,2025-08-17,2025-09-28,Won,465.61,
DEAL-00157,Solmar Hotels,2025-08-18,2025-09-21,Lost,2698.25,ES_Search_Generic_2025Q2
DEAL-00158,Solmar Hotels,2025-08-18,2025-08-31,Won,3169.6,ES_Sponsored_Corporate_2025Q1
DEAL-00159,Solmar Hotels,2025-08-20,2025-09-04,Won,869.28,ES_Social_Retargeting_2025Q3
DEAL-00160,Solmar Hotels,2025-08-20,,Qualified,716.1,ES_Search_SummerEscape_2025Q3
DEAL-00161,Solmar Hotels,2025-08-22,2025-09-14,Lost,1298.64,PT_Social_Prospecting_2025Q3
DEAL-00162,Solmar Hotels,2025-08-24,2025-09-17,Won,767.74,
DEAL-00163,Solmar Hotels,2025-08-24,2025-08-30,Won,1689.71,ES_Sponsored_C
DEAL-00164,Solmar Hotels,2025-08-25,2025-10-06,Won,2491.9,ES_SOCIAL_RETARGETING_2025Q2 (COPY)
DEAL-00165,Solmar Hotels,2025-08-25,,New,766.63,ES_Sponsored_Corporate_2025Q2
DEAL-00166,Solmar Hotels,2025-08-27,,New,983.87,
DEAL-00167,Solmar Hotels,2025-08-27,,Qualified,3976.6,ES_SEARCH_SUMMERESCAPE_2025Q3 (COPY)
DEAL-00168,Solmar Hotels,2025-08-27,2025-09-21,Won,703.7,-
DEAL-00169,Solmar Hotels,2025-08-28,2025-10-26,Won,867.97,-
DEAL-00170,Solmar Hotels,2025-08-29,,New,3345.57,ES_Search_SummerEscape_2025Q3
DEAL-00171,Solmar Hotels,2025-08-31,2025-10-25,Lost,1968.52,
DEAL-00172,Solmar Hotels,2025-09-03,2025-09-14,Won,4240.64,
DEAL-00173,Solmar Hotels,2025-09-04,2025-09-24,Won,2262.15,
DEAL-00174,Solmar Hotels,2025-09-05,2025-10-01,Won,669.75,
DEAL-00175,Solmar Hotels,2025-09-06,2025-09-28,Won,1356.03,Organic Search
DEAL-00176,Solmar Hotels,2025-09-06,,Qualified,1117.82,ES_Search_Generic_2025Q2
DEAL-00177,Solmar Hotels,2025-09-07,2025-09-21,Won,1164.48,PT_Social_Prospecting_2025Q1
DEAL-00178,Solmar Hotels,2025-09-11,2025-11-06,Lost,1199.21,Organic Search
DEAL-00179,Solmar Hotels,2025-09-12,,Qualified,762.97,ES_Social_Retargeting_2025Q2
DEAL-00180,Solmar Hotels,2025-09-12,2025-10-18,Lost,1878.85,facebook
DEAL-00181,Solmar Hotels,2025-09-13,2025-09-27,Won,1888.44,ES_Social_Prospecting_2025Q1
DEAL-00182,Solmar Hotels,2025-09-15,2025-10-04,Won,837.75,ES_Social_Prospecting_2025Q1
DEAL-00183,Solmar Hotels,2025-09-15,2025-09-28,Won,860.04,TBD
DEAL-00184,Solmar Hotels,2025-09-17,2025-11-05,Won,827.11,old campaign?
DEAL-00185,Solmar Hotels,2025-09-17,2025-10-25,Won,1853.6,instagram dm
DEAL-00186,Solmar Hotels,2025-09-18,2025-10-24,Won,940.09,ES_Sponsored_Corporate_2025Q1
DEAL-00187,Solmar Hotels,2025-09-18,2025-10-23,Won,753.03,ES_Social_Retargeting_2025Q3
DEAL-00188,Solmar Hotels,2025-09-19,,New,1528.12,ES_Search_Generic_2025Q3
DEAL-00189,Solmar Hotels,2025-09-19,,New,439.32,ES_Search_Generic_2025Q1
DEAL-00190,Solmar Hotels,2025-09-21,2025-10-14,Lost,672.57,ES_Sponsored_Corporate_2025Q3
DEAL-00191,Solmar Hotels,2025-09-23,2025-10-30,Won,2271.75,TBD
DEAL-00192,Solmar Hotels,2025-09-26,2025-11-12,Won,1248.02,ES_Sponsored_Corporate_2025Q3
DEAL-00193,Solmar Hotels,2025-09-28,2025-11-21,Won,1614.69,es search generic 2025q2??
DEAL-00194,Solmar Hotels,2025-09-29,2025-11-04,Lost,1202.34,ES_Social_Retargeting_2025Q3
DEAL-00195,Solmar Hotels,2025-10-01,,Qualified,1319.05,ES_Search_Generic_2025Q1
DEAL-00196,Solmar Hotels,2025-10-02,2025-10-27,Won,2154.49,ES_Search_SummerEscape_2025Q3
DEAL-00197,Solmar Hotels,2025-10-03,2025-11-20,Won,436.3,
DEAL-00198,Solmar Hotels,2025-10-11,,Qualified,1070.58,n/a
DEAL-00199,Solmar Hotels,2025-10-11,2025-11-15,Lost,1874.56,ES_Sponsored_Corporate_2025Q2
DEAL-00200,Solmar Hotels,2025-10-13,,Qualified,2727.09,ES_Search_SummerEscape_2025Q3
DEAL-00201,Solmar Hotels,2025-10-14,2025-12-12,Won,782.76,walk-in
DEAL-00202,Solmar Hotels,2025-10-15,,New,5191.31,ES_Search_SummerEscape_2025Q2
DEAL-00203,Solmar Hotels,2025-10-21,2025-12-13,Won,1069.05,
DEAL-00204,Solmar Hotels,2025-10-25,2025-11-27,Won,800.78,ES_Sponsored_Corporate_2025Q2
DEAL-00205,Solmar Hotels,2025-10-29,2025-12-07,Won,2134.87,
DEAL-00206,Solmar Hotels,2025-10-30,2025-12-24,Won,311.68,ES_Social_Reta
DEAL-00207,Solmar Hotels,2025-11-03,2025-11-19,Won,1115.3,ES_Social_Retargeting_2025Q2
DEAL-00208,Solmar Hotels,2025-11-04,,Qualified,3746.75,ES_Search_B
DEAL-00209,Solmar Hotels,2025-11-04,,Qualified,1140.23,
DEAL-00210,Solmar Hotels,2025-11-05,2025-12-25,Lost,454.93,ES_Search_Generic_2025Q1
DEAL-00211,Solmar Hotels,2025-11-07,2025-12-30,Won,1550.8,ES_Sponsored_Corporate_2025Q2
DEAL-00212,Solmar Hotels,2025-11-08,,New,1335.86,ES_Search_Brand_2025Q3
DEAL-00213,Solmar Hotels,2025-11-11,2025-12-03,Won,833.22,
DEAL-00214,Solmar Hotels,2025-11-12,2026-01-03,Lost,2601.47,
DEAL-00215,Solmar Hotels,2025-11-12,2025-12-11,Won,1593.08,ES_Social_Retargeting_2025Q1
DEAL-00216,Solmar Hotels,2025-11-20,2026-01-17,Won,801.56,PT_Social_Prospecting_2025Q2
DEAL-00217,Solmar Hotels,2025-11-20,2025-12-03,Won,1127.62,ES_Search_Generic_2025Q2
DEAL-00218,Solmar Hotels,2025-11-22,2025-12-09,Won,1590.7,ES_Search_SummerEscape_2025Q3
DEAL-00219,Solmar Hotels,2025-11-23,2026-01-21,Lost,1580.89,PT_Social_Prospecting_2025Q1
DEAL-00220,Solmar Hotels,2025-11-25,2025-11-28,Won,1210.74,
DEAL-00221,Solmar Hotels,2025-11-26,,New,658.35,ES_Search_Brand_2025Q3
DEAL-00222,Solmar Hotels,2025-11-26,2026-01-02,Won,2461.35,instagram dm
DEAL-00223,Solmar Hotels,2025-12-03,2026-01-12,Lost,4300.72,ES_Search_Brand_2025Q4
DEAL-00224,Solmar Hotels,2025-12-03,,Qualified,2892.24,ES_Social_Retargeting_2025Q4
DEAL-00225,Solmar Hotels,2025-12-04,2026-01-18,Lost,7006.04,ES_Social_Pros
DEAL-00226,Solmar Hotels,2025-12-08,,Qualified,1376.0,ES_Social_Prospecting_2025Q3
DEAL-00227,Solmar Hotels,2025-12-10,2026-01-13,Won,1263.28,ES_Social_Prospecting_2025Q4
DEAL-00228,Solmar Hotels,2025-12-11,2026-01-06,Won,398.36,
DEAL-00229,Solmar Hotels,2025-12-16,2025-12-26,Won,659.29,ES_Sponsored_C
DEAL-00230,Solmar Hotels,2025-12-17,2026-01-28,Won,1685.33,ES_Search_Brand_2025Q1
DEAL-00231,Solmar Hotels,2025-12-21,2026-01-22,Won,734.35,
DEAL-00232,Solmar Hotels,2025-12-21,2026-01-26,Won,996.63,ES_Social_Prospecting_2025Q1
DEAL-00233,Solmar Hotels,2025-12-22,,New,2330.25,ES_Sponsored_Corporate_2025Q2
DEAL-00234,Solmar Hotels,2026-01-09,,Qualified,1677.47,old campaign?
DEAL-00235,Solmar Hotels,2026-01-10,2026-02-22,Won,1236.89,ES_Social_Prospecting_2026Q1
DEAL-00236,Solmar Hotels,2026-01-11,,New,1728.53,ES_Social_Retargeting_2025Q4
DEAL-00237,Solmar Hotels,2026-01-13,2026-02-08,Won,1609.9,
DEAL-00238,Solmar Hotels,2026-01-15,2026-01-24,Won,1514.05,ES_Search_Brand_2025Q3
DEAL-00239,Solmar Hotels,2026-01-18,,Qualified,656.3,ES_Search_Generic_2025Q2
DEAL-00240,Solmar Hotels,2026-01-19,,Qualified,2988.26,Organic Search
DEAL-00241,Solmar Hotels,2026-01-21,,New,1894.37,ES_Search_SummerEscape_2025Q2
DEAL-00242,Solmar Hotels,2026-01-23,2026-03-06,Won,4225.75,ES_Sponsored_Corporate_2025Q3
DEAL-00243,Solmar Hotels,2026-01-29,2026-03-08,Won,1049.39,ES_Sponsored_Corporate_2025Q4
DEAL-00244,Solmar Hotels,2026-01-30,2026-03-25,Won,975.38,ES_Search_Brand_2025Q3
DEAL-00245,Solmar Hotels,2026-02-01,2026-02-20,Won,6935.88,
DEAL-00246,Solmar Hotels,2026-02-08,2026-02-20,Won,1451.57,
DEAL-00247,Solmar Hotels,2026-02-12,,New,2780.12,PT_Social_Prospecting_2025Q3
DEAL-00248,Solmar Hotels,2026-02-19,2026-03-09,Lost,2551.33,ES_SEARCH_GENERIC_2025Q4 (COPY)
DEAL-00249,Solmar Hotels,2026-02-22,2026-04-17,Won,3316.49,walk-in
DEAL-00250,Solmar Hotels,2026-02-22,2026-03-12,Won,1157.39,ES_Sponsored_Corporate_2025Q4
DEAL-00251,Solmar Hotels,2026-02-22,,New,2144.22,instagram dm
DEAL-00252,Solmar Hotels,2026-02-24,2026-04-12,Lost,2814.69,ES_Search_SummerEscape_2025Q2
DEAL-00253,Solmar Hotels,2026-02-24,,New,1013.99,PT_Social_Prospecting_2025Q1
DEAL-00254,Solmar Hotels,2026-02-26,2026-04-03,Won,779.3,
DEAL-00255,Solmar Hotels,2026-02-26,2026-04-02,Won,778.65,ES_Social_Prospecting_2026Q1
DEAL-00256,Solmar Hotels,2026-03-02,2026-04-30,Lost,1010.66,ES_Search_SummerEscape_2025Q2
DEAL-00257,Solmar Hotels,2026-03-04,2026-03-26,Lost,1273.47,ES_Social_Retargeting_2025Q4
DEAL-00258,Solmar Hotels,2026-03-06,2026-03-31,Won,849.36,instagram dm
DEAL-00259,Solmar Hotels,2026-03-07,2026-03-13,Won,851.44,ES_SPONSORED_CORPORATE_2025Q4 (COPY)
DEAL-00260,Solmar Hotels,2026-03-08,2026-05-06,Won,810.89,ES_Social_Retargeting_2025Q2
DEAL-00261,Solmar Hotels,2026-03-11,2026-05-07,Lost,976.77,ES_Search_Brand_2025Q1
DEAL-00262,Solmar Hotels,2026-03-12,,Qualified,714.96,ES_Sponsored_Corporate_2026Q1
DEAL-00263,Solmar Hotels,2026-03-15,2026-03-20,Won,3113.04,ES_Social_Retargeting_2025Q1
DEAL-00264,Solmar Hotels,2026-03-17,2026-03-30,Lost,1056.99,ES_Search_Brand_2025Q1
DEAL-00265,Solmar Hotels,2026-03-20,2026-05-14,Won,1891.36,
DEAL-00266,Solmar Hotels,2026-03-27,2026-04-21,Lost,899.59,es search brand 2025q1??
DEAL-00267,Solmar Hotels,2026-03-27,,New,1899.84,ES_Search_Generic_2025Q4
DEAL-00268,Solmar Hotels,2026-03-28,,Qualified,1945.45,ES_Search_Generic_2025Q4
DEAL-00269,Solmar Hotels,2026-03-29,,Qualified,3390.51,ES_Social_Prospecting_2025Q4
DEAL-00270,Solmar Hotels,2026-04-01,2026-04-16,Lost,1386.71,ES_Search_Generic_2025Q2
DEAL-00271,Solmar Hotels,2026-04-02,2026-04-14,Lost,1695.81,PT_Social_Prospecting_2026Q1
DEAL-00272,Solmar Hotels,2026-04-04,2026-05-19,Won,4874.55,PT_Social_Pros
DEAL-00273,Solmar Hotels,2026-04-11,2026-06-05,Won,2408.01,
DEAL-00274,Solmar Hotels,2026-04-15,,New,3831.96,ES_Social_Prospecting_2025Q3
DEAL-00275,Solmar Hotels,2026-04-18,2026-05-11,Won,507.72,ES_Search_Generic_2025Q2
DEAL-00276,Solmar Hotels,2026-04-21,2026-05-04,Won,909.99,instagram dm
DEAL-00277,Solmar Hotels,2026-04-23,2026-06-02,Lost,3721.5,TBD
